plot,country_unique,country_pooled,region,x,y,stem_regeneration,adv_delayed,sum_stems_juvenile,sum_stems_sapling,sum_stems_mature,stem_density,n_vertical,richness,disturbance_severity,distance_edge,tmp,prcp,tmp_z,prcp_z,spei1,spei3,spei12,drought_tmp,drought_prcp,drought_spei1,drought_spei3,drought_spei12,elevation,slope,aspect,sand_extract,clay_extract,depth_extract,av.nitro,cv_t2m,cv_tp
13_144,AT,AT,13,972286.902741713,5415693.17623587,6500,Intermediate,0,6500,0,6500,1,3,0.997013092041016,60,9.78343132555393,735.661456647861,1.83103387816278,-0.402783172919814,-0.843800870128061,-1.0188713594628,-1.2938843968848,9.92459562547662,747.650175057128,-0.984943671889528,-1.19215053997868,-1.67723899496403,602.99072265625,4.30267489639269,99.1542752112436,42,20,30,54.5908164978027,0.0252677794226343,0.54639973935416
13_145,AT,AT,13,972311.559602506,5415272.53714402,4000,Intermediate,0,4000,0,4000,1,4,0.977689802646637,85,9.78343132555393,735.661456647861,1.83103387816278,-0.402783172919814,-0.843800802794654,-1.01887548465467,-1.29389784007775,9.92459562547662,747.650175057128,-0.984943905187274,-1.19215347279056,-1.67722809549152,615.833862304688,0.502423970970135,212.079183145116,42,20,30,54.0089378356934,0.0252677794226343,0.54639973935416
13_146,AT,AT,13,972093.898746563,5415069.61778512,7000,Advanced,1500,5500,0,7000,2,3,0.375403046607971,60,9.78343132555393,735.661456647861,1.83103387816278,-0.402783172919814,-0.843800773497228,-1.01887728365308,-1.29390369321372,9.92459562547662,747.650175057128,-0.984944007651942,-1.19215476093723,-1.67722330816105,614.093383789063,3.99406300308237,41.838347910871,42,20,30,54.0089378356934,0.0252677794226343,0.54639973935416
13_147,AT,AT,13,972616.905152809,5414915.04291079,5000,Intermediate,0,5000,0,5000,1,1,0.999993145465851,60,9.78343132555393,735.661456647861,1.83103387816278,-0.402783172919814,-0.843800741937279,-1.0188792194129,-1.29390999654112,9.92459562547662,747.650175057128,-0.984944117962854,-1.1921561477594,-1.6772181540569,613.185119628906,1.43026625157565,65.2006926334985,42,20,30,54.6970329284668,0.0252677794226343,0.54639973935416
13_148,AT,AT,13,972899.551746477,5414757.96662053,2000,Advanced,1000,1000,0,2000,2,2,0.998519778251648,153,9.78343132555393,735.661456647861,1.83103387816278,-0.402783172919814,-0.84380071300466,-1.01888098422864,-1.29391576642105,9.92459562547662,747.650175057128,-0.984944218127587,-1.19215740705598,-1.67721347385365,612.392578125,0.59497171473054,358.780743585297,42,20,30,54.6970329284668,0.0252677794226343,0.54639973935416
13_149,AT,AT,13,975978.774208522,5417099.21170839,3500,Advanced,1500,2000,500,4000,3,5,0.99739146232605,60,9.92170902039901,691.066791388816,1.82606751373199,-0.459563965294263,-0.834367108838562,-1.002475614202,-1.26361643067945,10.089659773891,706.598109445057,-0.996363942427027,-1.19324416274321,-1.68666817739583,594.314270019531,1.01448717174494,315.231951208999,42.1393089294434,22.3796215057373,66.1893692016602,53.0434379577637,0.0252624540681117,0.546121571027792
13_150,AT,AT,13,976272.5539216,5417399.70839535,4000,Intermediate,500,3500,0,4000,2,4,0.851528823375702,67,9.92170902039901,691.066791388816,1.82606751373199,-0.459563965294263,-0.834367154684175,-1.00247261835256,-1.26360793655098,10.089659773891,706.598109445057,-0.996363864602271,-1.1932424459166,-1.68666635489781,592.269897460938,4.6300829043086,250.226882734743,42.1393089294434,22.3796215057373,66.1893692016602,53.0434379577637,0.0252624540681117,0.546121571027792
13_151,AT,AT,13,976213.525134737,5417599.55426938,8000,Advanced,1000,7000,0,8000,2,3,0.98933357000351,85,9.92170902039901,691.066791388816,1.82606751373199,-0.459563965294263,-0.834367188359956,-1.00247041287929,-1.26360169546039,10.089659773891,706.598109445057,-0.996363807405831,-1.19324118425393,-1.68666501566816,589.5283203125,2.55762249222412,227.119200636386,42.0029754638672,22.3347721099854,66.5060577392578,53.9544830322266,0.0252981103371884,0.546892385202562
13_152,AT,AT,13,843930.651024126,5384562.31865194,3500,Intermediate,0,3500,500,4000,2,3,0.604035258293152,42,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012395119203,-1.12513716938316,-1.41521558494457,9.84110134957687,892.090029970414,-1.01936632004381,-1.17101781819264,-1.60717880060245,702.55712890625,11.1905605835659,327.01840133269,50.9563751220703,17.2186546325684,126.343818664551,63.1365814208984,0.0248366091518909,0.509475160299883
13_153,AT,AT,13,844073.63438773,5384322.97783818,2500,Intermediate,0,2500,500,3000,2,3,0.999838590621948,60,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012397469457,-1.12513863060905,-1.41522289460512,9.84110134957687,892.090029970414,-1.01936630523334,-1.17101785855395,-1.60716320606008,742.834899902344,6.97897475936206,31.9006223635094,71.2502517700195,11.1198539733887,125.627243041992,60.3162422180176,0.0248366091518909,0.509475160299883
